script,font_1,font_2,cosine_similarity,cosine_distance
Cyrillic,NanumGothicCoding-Regular,"NunitoSans[YTLC,opsz,wdth,wght]",0.9668,0.0332
Cyrillic,ComicRelief-Regular,RoundedMplus1c-ExtraBold,0.9667,0.0333
Cyrillic,Ubuntu-Light,Gidole-Regular,0.9667,0.0333
Cyrillic,NanumGothicCoding-Regular,"TikTokSans[opsz,slnt,wdth,wght]",0.9666,0.0334
Cyrillic,FiraSansCondensed-Black,Play-Bold,0.9664,0.0336
Cyrillic,JejuGothic-Regular,AlegreyaSans-ExtraBold,0.9663,0.0337
Cyrillic,Jost[wght],Gidole-Regular,0.9661,0.0339
Cyrillic,RocknRollOne-Regular,Ubuntu-Regular,0.966,0.034
Cyrillic,MPLUS1p-Medium,Sansation-Light,0.966,0.034
Cyrillic,"OpenSans[wdth,wght]",NotoSansTC[wght],0.9659,0.0341
Cyrillic,PlayfairDisplaySC-Black,KaiseiTokumin-ExtraBold,0.9658,0.0342
Cyrillic,"OpenSans[wdth,wght]",ZenKakuGothicAntique-Regular,0.9658,0.0342
Cyrillic,"NunitoSans[YTLC,opsz,wdth,wght]",Ubuntu-Regular,0.9658,0.0342
Cyrillic,Ubuntu-Light,ZenKakuGothicAntique-Regular,0.9657,0.0343
Cyrillic,"NunitoSans[YTLC,opsz,wdth,wght]",Ubuntu-Light,0.9655,0.0345
Cyrillic,MPLUS1p-Medium,FiraSansExtraCondensed-Medium,0.9655,0.0345
Cyrillic,"OpenSans[wdth,wght]",FiraSansExtraCondensed-Medium,0.9654,0.0346
Cyrillic,AlegreyaSansSC-Black,Arsenal-Bold,0.9654,0.0346
Cyrillic,"OpenSans[wdth,wght]",NanumGothicCoding-Regular,0.9654,0.0346
Cyrillic,Play-Bold,Arsenal-Bold,0.9653,0.0347
Cyrillic,"NotoSansMono[wdth,wght]",WDXLLubrifontSC-Regular,0.9653,0.0347
Cyrillic,KaiseiOpti-Bold,PlayfairDisplaySC-Black,0.9652,0.0348
Cyrillic,BellotaText-LightItalic,FiraSans-ExtraLightItalic,0.9652,0.0348
Cyrillic,"OpenSans[wdth,wght]",Cuprum[wght],0.9651,0.0349
Cyrillic,"TikTokSans[opsz,slnt,wdth,wght]",NotoSansTC[wght],0.9651,0.0349
Cyrillic,PlayfairDisplaySC-Black,ZenOldMincho-Medium,0.965,0.035
Cyrillic,Jost[wght],"TikTokSans[opsz,slnt,wdth,wght]",0.965,0.035
Cyrillic,Alegreya-Italic[wght],AlegreyaSans-Italic,0.965,0.035
Cyrillic,MPLUS1p-Medium,"NunitoSans[YTLC,opsz,wdth,wght]",0.9649,0.0351
Cyrillic,Lato-BoldItalic,IstokWeb-Italic,0.9649,0.0351
Cyrillic,EBGaramond-Italic[wght],"SourceSerif4-Italic[opsz,wght]",0.9648,0.0352
Cyrillic,PT_Serif-Web-Italic,SpectralSC-ExtraBoldItalic,0.9648,0.0352
Cyrillic,MPLUS1p-Bold,FiraSansExtraCondensed-Medium,0.9647,0.0353
Cyrillic,Cuprum[wght],LXGWWenKaiMonoTC-Bold,0.9647,0.0353
Cyrillic,NanumGothicCoding-Regular,Ubuntu-Regular,0.9647,0.0353
Cyrillic,Lato-ExtraBoldItalic,Andika-BoldItalic,0.9646,0.0354
Cyrillic,MPLUS1p-Bold,ComicRelief-Regular,0.9646,0.0354
Cyrillic,NanumGothicCoding-Regular,Ubuntu-Light,0.9645,0.0355
Cyrillic,Rubik-Italic[wght],Ubuntu-LightItalic,0.9644,0.0356
Cyrillic,NotoSansTC[wght],Manrope[wght],0.9644,0.0356
Cyrillic,Cuprum[wght],ZenKakuGothicAntique-Regular,0.9644,0.0356
Cyrillic,RocknRollOne-Regular,BIZUDPGothic-Regular,0.9642,0.0358
Cyrillic,RobotoCondensed[wght],MPLUS1p-Bold,0.9641,0.0359
Cyrillic,"OpenSans[wdth,wght]","NunitoSans[YTLC,opsz,wdth,wght]",0.964,0.036
Cyrillic,FiraSans-ExtraLightItalic,AlegreyaSans-Italic,0.964,0.036
Cyrillic,BellotaText-LightItalic,FiraSans-ThinItalic,0.9637,0.0363
Cyrillic,MPLUS1p-Bold,BIZUDPGothic-Regular,0.9635,0.0365
Cyrillic,FiraSans-MediumItalic,IBMPlexMono-SemiBoldItalic,0.9634,0.0366
Cyrillic,Lato-ExtraBoldItalic,IstokWeb-Italic,0.9631,0.0369
Cyrillic,Sansation-Light,BIZUDPGothic-Regular,0.9631,0.0369
Cyrillic,FiraSansCondensed-Black,Ubuntu-Regular,0.9631,0.0369
Cyrillic,RocknRollOne-Regular,"OpenSans[wdth,wght]",0.9631,0.0369
Cyrillic,"TikTokSans[opsz,slnt,wdth,wght]",BIZUDPGothic-Regular,0.9631,0.0369
Cyrillic,Sansation-Light,ZenKakuGothicAntique-Regular,0.963,0.037
Cyrillic,MPLUS1p-Medium,Cuprum[wght],0.9629,0.0371
Cyrillic,LXGWWenKaiMonoTC-Bold,IosevkaCharonMono-Bold,0.9628,0.0372
Cyrillic,RubikDirt-Regular,RubikMicrobe-Regular,0.9628,0.0372
Cyrillic,MPLUS1p-Medium,BIZUDPGothic-Regular,0.9628,0.0372
Cyrillic,MPLUS1p-Medium,RoundedMplus1c-ExtraBold,0.9627,0.0373
Cyrillic,Jost[wght],Manrope[wght],0.9626,0.0374
Cyrillic,Gidole-Regular,Ubuntu-Regular,0.9626,0.0374
Cyrillic,Lato-BoldItalic,Ubuntu-Regular,0.9626,0.0374
Cyrillic,MPLUS1p-Bold,ZenKakuGothicAntique-Regular,0.9625,0.0375
Cyrillic,CascadiaMono-Italic[wght],IosevkaCharonMono-MediumItalic,0.9624,0.0376
Cyrillic,Ubuntu-Light,NotoSansTC[wght],0.9624,0.0376
Cyrillic,PlayfairDisplaySC-Black,KaiseiTokumin-Regular,0.9623,0.0377
Cyrillic,Philosopher-BoldItalic,Tinos-BoldItalic,0.9622,0.0378
Cyrillic,"NotoSansMono[wdth,wght]",ZenKakuGothicAntique-Regular,0.9622,0.0378
