font_file,font_family,script,codepoint_coverage,total_glyphs,expansion_ratio,vertical_footprint,friction_score,friction_contextual_joining,friction_indic_shaping,friction_ligature_heavy,friction_mark_positioning,friction_rtl_layout
Amiko-SemiBold.ttf,Amiko,Devanagari,130,918,14.446153846153846,1.334,3,False,True,True,True,False
Mandali-Regular.ttf,Mandali,Telugu,94,1235,1.8936170212765957,1.9772151898734178,1,False,True,False,False,False
Carlito-Italic.ttf,Carlito,Cyrillic,274,2783,3.9927007299270074,1.220703125,3,True,False,True,False,True
Carlito-Regular.ttf,Carlito,Cyrillic,274,2783,3.9927007299270074,1.220703125,3,True,False,True,False,True
Carlito-BoldItalic.ttf,Carlito,Cyrillic,274,2782,3.9927007299270074,1.220703125,3,True,False,True,False,True
Carlito-Bold.ttf,Carlito,Cyrillic,274,2783,3.9927007299270074,1.220703125,3,True,False,True,False,True
FiraSans-Thin.ttf,Fira Sans,Cyrillic,288,2708,9.36111111111111,1.2,4,True,False,True,True,True
FiraSans-ExtraLightItalic.ttf,Fira Sans,Cyrillic,288,2707,7.569444444444445,1.2,4,True,False,True,True,True
FiraSans-LightItalic.ttf,Fira Sans,Cyrillic,288,2707,7.569444444444445,1.2,4,True,False,True,True,True
FiraSans-Medium.ttf,Fira Sans,Cyrillic,288,2708,9.36111111111111,1.2,4,True,False,True,True,True
FiraSans-BoldItalic.ttf,Fira Sans,Cyrillic,288,2707,7.569444444444445,1.2,4,True,False,True,True,True
FiraSans-Bold.ttf,Fira Sans,Cyrillic,288,2708,9.36111111111111,1.2,4,True,False,True,True,True
FiraSans-ExtraLight.ttf,Fira Sans,Cyrillic,288,2708,9.36111111111111,1.2,4,True,False,True,True,True
FiraSans-ThinItalic.ttf,Fira Sans,Cyrillic,288,2707,7.569444444444445,1.2,4,True,False,True,True,True
FiraSans-MediumItalic.ttf,Fira Sans,Cyrillic,288,2707,7.569444444444445,1.2,4,True,False,True,True,True
FiraSans-BlackItalic.ttf,Fira Sans,Cyrillic,288,2707,7.569444444444445,1.2,4,True,False,True,True,True
FiraSans-Light.ttf,Fira Sans,Cyrillic,288,2708,9.36111111111111,1.2,4,True,False,True,True,True
FiraSans-Black.ttf,Fira Sans,Cyrillic,288,2708,9.36111111111111,1.2,4,True,False,True,True,True
FiraSans-ExtraBold.ttf,Fira Sans,Cyrillic,288,2708,9.36111111111111,1.2,4,True,False,True,True,True
FiraSans-SemiBold.ttf,Fira Sans,Cyrillic,288,2708,9.36111111111111,1.2,4,True,False,True,True,True
FiraSans-SemiBoldItalic.ttf,Fira Sans,Cyrillic,288,2707,7.569444444444445,1.2,4,True,False,True,True,True
FiraSans-ExtraBoldItalic.ttf,Fira Sans,Cyrillic,288,2707,7.569444444444445,1.2,4,True,False,True,True,True
FiraSans-Regular.ttf,Fira Sans,Cyrillic,288,2708,9.36111111111111,1.2,4,True,False,True,True,True
FiraSans-Italic.ttf,Fira Sans,Cyrillic,288,2707,7.569444444444445,1.2,4,True,False,True,True,True
EkMukta-Light.ttf,Ek Mukta,Devanagari,128,1368,15.1015625,1.662,3,False,True,True,True,False
EkMukta-ExtraBold.ttf,Ek Mukta,Devanagari,128,1368,15.1015625,1.662,3,False,True,True,True,False
EkMukta-Bold.ttf,Ek Mukta,Devanagari,128,1368,15.1015625,1.662,3,False,True,True,True,False
EkMukta-Medium.ttf,Ek Mukta,Devanagari,128,1368,15.1015625,1.662,3,False,True,True,True,False
