script_pair,count
"('emoji', 'thai')",1
"('math', 'thai')",1
"('braille', 'japanese')",1
"('cyrillic', 'glagolitic')",1
"('tai-viet', 'vietnamese')",1
"('cyrillic', 'phoenician')",1
"('cyrillic-ext', 'phoenician')",1
"('greek', 'phoenician')",1
"('greek-ext', 'phoenician')",1
"('japanese', 'symbols2')",1
"('latin', 'signwriting')",1
